source_model,member_id,scenario,scenario_label,unit_type,unit_id,unit_name,n_units,n_valid_burden,pm25_base_ugm3,pm25_future_ugm3,delta_pm25_ugm3,pm25_obs_2020_ugm3,pm25_proj2050_ugm3,pm25_change_factor,pm25_model_hist_1995_2014_ugm3,pm25_model_present_ugm3,pm25_model_future_ugm3,delta_pm25_hist_future_ugm3,delta_pm25_present_future_ugm3,delta_x,delta_x_naive_hist,delta_pi_pp,delta_pi_prop,delta_pi_pp_ci_low,delta_pi_pp_ci_high,pi_change_pp,pi_reduction_pp,pi_change_pp_ci_low,pi_change_pp_ci_high,PI2020_pct,PI2050_pct,PI2020_prop,PI2050_prop,PI2050_pct_ci_low,PI2050_pct_ci_high,PI2050_prop_ci_low,PI2050_prop_ci_high,PI2050_pct_naive_linear,PI2050_prop_naive_linear,paf_2020,paf_2050,delta_paf,paf0_formula,paf_proj,paf_2050_naive_linear,delta_paf_naive_linear,costs_share_gdp,costs_share_gdp_naive_linear,delta_pi_pp_PI0,delta_pi_pp_PI1,delta_pi_pp_PI2,delta_pi_pp_ci_low_PI0,delta_pi_pp_ci_low_PI1,delta_pi_pp_ci_low_PI2,delta_pi_pp_ci_high_PI0,delta_pi_pp_ci_high_PI1,delta_pi_pp_ci_high_PI2,PI0_2020_pct,PI1_2020_pct,PI2_2020_pct,PI0_2020_prop,PI1_2020_prop,PI2_2020_prop,PI2050_pct_PI0,PI2050_pct_PI1,PI2050_pct_PI2,pproj_bounded_PI0,pproj_bounded_PI1,pproj_bounded_PI2,pi_reduction_pp_PI0,pi_reduction_pp_PI1,pi_reduction_pp_PI2,pi_reduction_pp_ci_low_PI0,pi_reduction_pp_ci_low_PI1,pi_reduction_pp_ci_low_PI2,pi_reduction_pp_ci_high_PI0,pi_reduction_pp_ci_high_PI1,pi_reduction_pp_ci_high_PI2,deathtotal_2022,deathtotal_2050,pop_est,gdp_total,delta_deaths_2050,avoidable_deaths_2050,avoidable_deaths_2050_ci_low,avoidable_deaths_2050_ci_high,delta_deaths_2050_naive_linear,avoidable_deaths_2050_naive_linear,net_deaths_benefit,avoidable_deaths,deaths_per_100k,delta_costs_2050,saved_costs_2050,saved_costs_2050_ci_low,saved_costs_2050_ci_high,delta_costs_2050_naive_linear,saved_costs_2050_naive_linear,net_saved_costs,saved_costs,costs_per_capita,share_deaths2050_pct,n_below_zero,n_above_one,n_inadmissible_naive_linear,n_invalid_pm,baseline_window,present_window,future_window
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,global,GLOBAL,Global,145,145,32.871115002181504,22.08731197496354,-10.783803027217965,32.871115002181504,22.08731197496354,0.6735296117417366,29.564036595390633,30.099949721863236,19.136246142509652,-10.427790452880979,-10.96370357935358,-4.574582129151875,-4.8430131557399,-11.259656872752227,-0.11259656872752227,-16.531538298780962,-5.987775446723491,8.910160381794702,8.910160381794702,5.270139125313281,11.817088583906992,30.059397873004908,21.149237491210204,0.30059397873004906,0.21149237491210207,18.24230928909792,24.789258747691626,0.1824230928909792,0.24789258747691628,18.97832465172717,0.18978324651727171,0.07674816783189502,0.054847251200773786,-0.02190091663112123,0.07674816783189502,0.054847251200773786,0.04899012940113196,-0.027758038430763046,0.007681614041368349,0.009856242470506425,-11.259656872752227,-7.945939368365708,-14.369004920518885,-16.531538298780962,-12.46263232192279,-20.63681830656565,-5.987775446723491,-3.4292464148086252,-8.101191534472118,30.059397873004908,27.43048229218908,32.661438602416624,0.30059397873004906,0.2743048229218908,0.32661438602416626,21.149237491210204,20.61921195553224,22.21575992957015,0.21149237491210207,0.20619211955532238,0.2221575992957015,8.910160381794702,6.81127033665684,10.445678672846473,5.270139125313281,3.2042869605303523,6.684076022228279,11.817088583906992,9.773146145219737,13.43683797871045,51542491.00655365,80657187.03659058,6770353340,176130900352114.7,-1805813.0906159282,1805813.0906159282,1065856.2188616577,2396521.060042075,-2303394.3633292094,2303394.3633292094,1805813.0906159282,1805813.0906159282,26.672361100372466,-13529695972.636536,13529695972.636536,8068915001.819353,17790043945.435844,-17359888604.19048,17359888604.19048,13529695972.636536,13529695972.636536,1.9983736879287508,-2.238874373088056,12,0,12,0,1995-2014,2015-2024,2040-2059
GFDL-ESM4,r1i1p1f1,RCP45,SSP2-4.5,global,GLOBAL,Global,145,145,32.871115002181504,29.893113013401095,-2.9780019887804077,32.871115002181504,29.893113013401095,0.8735044302786708,29.564036595390633,32.41925019886721,28.572078806807596,-0.9919577885830365,-3.847171392059615,-1.5804859989020101,-1.2068392708804578,-3.8901323743694607,-0.03890132374369461,-5.960007280196626,-1.8202574685422963,3.3686196347585735,3.3686196347585735,1.6456610717812132,4.884077302765524,30.059397873004908,26.690778238246335,0.30059397873004906,0.2669077823824634,25.175320570239386,28.413736801223692,0.25175320570239385,0.28413736801223693,26.169265498635447,0.26169265498635447,0.07674816783189502,0.06836992232923549,-0.00837824550265953,0.07674816783189502,0.06836992232923549,0.06701866422178483,-0.009729503610110175,0.003816856780899106,0.004358593414800498,-3.8901323743694607,-2.7452662484288184,-4.964390288309155,-5.960007280196626,-4.518634927727187,-7.42529344484291,-1.8202574685422963,-0.9718975691304489,-2.503487131775401,30.059397873004908,27.43048229218908,32.661438602416624,0.30059397873004906,0.2743048229218908,0.32661438602416626,26.690778238246335,24.920880926650213,28.653065393594865,0.2669077823824634,0.2492088092665021,0.2865306539359486,3.3686196347585735,2.509601365538865,4.00837320882176,1.6456610717812132,0.9124028311424488,2.1498395632724634,4.884077302765524,3.9582947118342755,5.579782258649041,51542491.00655365,80657187.03659058,6770353340,176130900352114.7,-717482.0255740873,717482.0255740873,358991.4062354838,1035255.0348876164,-833247.6885271264,833247.6885271264,717482.0255740873,717482.0255740873,10.597408872815008,-6722664213.348337,6722664213.348337,3673283531.7113876,9440767774.996216,-7676829824.176098,7676829824.176098,6722664213.348337,6722664213.348337,0.9929561834875131,-0.8895450634158586,0,0,0,0,1995-2014,2015-2024,2040-2059
GFDL-ESM4,r1i1p1f1,RCP85,SSP5-8.5,global,GLOBAL,Global,145,145,32.871115002181504,30.60350534317084,-2.267609659010662,32.871115002181504,30.60350534317084,0.9198574070845195,29.564036595390633,32.60956067394225,29.739350415348703,0.17531381995807208,-2.8702102585935427,-0.9747820868589362,-0.560717707927818,-2.3992818390544164,-0.023992818390544166,-3.8486285978843235,-0.9499350802245096,2.1209839012298906,2.1209839012298906,0.8148057523175762,3.309962996344898,30.059397873004908,27.938413971775017,0.30059397873004906,0.27938413971775017,26.74943487666001,29.24459212068733,0.26749434876660005,0.2924459212068733,27.66011603395049,0.27660116033950494,0.07674816783189502,0.07150936626506137,-0.00523880156683364,0.07674816783189502,0.07150936626506137,0.07079670522545474,-0.005951462606440266,0.0020872894314210595,0.0023229334730189184,-2.3992818390544164,-1.6931730901038875,-3.061842198274522,-3.8486285978843235,-2.934903274046791,-4.784990782604626,-0.9499350802245096,-0.4514429061609844,-1.3386936139444188,30.059397873004908,27.43048229218908,32.661438602416624,0.30059397873004906,0.2743048229218908,0.32661438602416626,27.938413971775017,25.863109959430844,30.116392644911432,0.27938413971775017,0.2586310995943084,0.3011639264491143,2.1209839012298906,1.5673723327582345,2.545045957505193,0.8148057523175762,0.3908791205800512,1.0903722671015001,3.309962996344898,2.6624862879426487,3.8276838779440663,51542491.00655365,80657187.03659058,6770353340,176130900352114.7,-449915.34982432774,449915.34982432774,181069.5272930201,696632.238385155,-510098.3737847095,510098.3737847095,449915.34982432774,449915.34982432774,6.6453747275814665,-3676361668.516448,3676361668.516448,1858613366.7889419,5343951213.420963,-4091403640.6088676,4091403640.6088676,3676361668.516448,3676361668.516448,0.5430088333493756,-0.5578118532948851,0,0,0,0,1995-2014,2015-2024,2040-2059
