objectid,año,tmean_weighted,precipitation_weighted,cld_weighted,frs_weighted,vap_weighted,wet_weighted,income1,income2,income3,income4,income5,GDPpc,deathr,CO2,lnGDPpc,lnCO2,PI0,PI1,PI2,pm25,region_wb,pm25_nmeses_1_le5,pm25_nmeses_2_5to10,pm25_nmeses_3_10to15,pm25_nmeses_4_15to25,pm25_nmeses_5_25to35,pm25_nmeses_6_gt35,pm25_mean,iso3,_m_iso,wind_nmeses_1_0to90,wind_nmeses_2_90to180,wind_nmeses_3_180to270,wind_nmeses_4_270to360,n_stag,wind_spd_mean,p_stag,wdirty,p_wdirty,regWB,regWB_1,regWB_2,regWB_3,regWB_4,regWB_5,regWB_6,regWB_7,regWB_8,i_reg1_bin1,i_reg1_bin2,i_reg1_bin3,i_reg1_bin4,i_reg2_bin1,i_reg2_bin2,i_reg2_bin3,i_reg2_bin4,i_reg3_bin1,i_reg3_bin2,i_reg3_bin3,i_reg3_bin4,i_reg4_bin1,i_reg4_bin2,i_reg4_bin3,i_reg4_bin4,i_reg5_bin1,i_reg5_bin2,i_reg5_bin3,i_reg5_bin4,i_reg6_bin1,i_reg6_bin2,i_reg6_bin3,i_reg6_bin4,_m_wind,shift_q1,shift_q2,shift_q3,shift_q4,shift_dirty,z_wind,lnz_wind,_m_shift,lnpm25,lnq1,lnq2,lnq3,lnq4,lnshift_dirty,_m_shift2,lnpm25_10,_est_model2,_est_model1,_est_model3,_est_model4,_est_model5
1,2010,26.727596,3377.420425415039,65.871262,.000034512199,28.236309,15.518164,0,0,0,1,0,2695.868170072145,7.406,434.5687,7.8994756,6.0743542,16.27,16.780001,15.66,20.299999,East Asia & Pacific,0,0,10,2,0,0,13.732375,IDN,matched (3),0,6,4,2,0,1.8763568,0,6,.5,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),7691.459,16146.935,7973.9185,168237.38,176211.3,200049.69,12.206321,matched (3),2.6197562,12.112441,10.326375,9.8359127,14.011873,14.027117,matched (3),27.486635,1,1,1,1,1
1,2011,26.481213,2380.922580718994,65.406433,.00010543814,28.297169,12.481123,0,0,0,1,0,2826.480440723476,7.456,496.3287,7.9467874,6.2072382,16.43,17.08,15.68,23.4,East Asia & Pacific,0,0,7,5,0,0,15.433658,IDN,matched (3),1,5,3,3,0,2.1357489,0,6,.5,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),25472.102,15102.62,6340.8203,330647.81,336988.63,377563.34,12.841494,matched (3),2.7365506,12.113488,10.331978,9.8641052,14.043458,14.05865,matched (3),28.712049,1,1,1,1,1
1,2012,26.607641,2390.072643280029,64.826736,.000087785702,28.426859,12.287508,0,0,0,1,0,2959.514478166795,7.494,503.4282,7.9927807,6.2214413,16.6,17.4,15.71,22.6,East Asia & Pacific,0,0,6,5,1,0,15.591334,IDN,matched (3),0,9,0,3,0,2.0047243,0,3,.25,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),8243.8291,22330.912,4681.064,221675.28,226356.34,256931.09,12.456563,matched (3),2.7467153,12.113706,10.34014,9.9157572,14.062507,14.078198,matched (3),28.818699,1,1,1,1,1
1,2013,26.701952,2642.382446289063,65.578697,.00014427482,28.615297,13.56065,0,0,0,1,0,3086.323116952238,7.457,469.3824,8.0347357,6.1514177,16.780001,17.73,15.75,20.200001,East Asia & Pacific,0,0,7,5,0,0,14.958307,IDN,matched (3),0,8,1,3,0,1.9042598,0,4,.33333334,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),18844.223,19950.113,4528.4224,293541.28,298069.72,336864.03,12.727435,matched (3),2.7052667,12.150279,10.357324,9.9463367,14.055875,14.072157,matched (3),28.383818,1,1,1,1,1
1,2014,26.632534,2277.083763122559,65.048576,.00010374175,28.242838,12.396704,0,0,0,1,0,3203.484287020772,7.43,505.126,8.0719948,6.2248077,16.98,18.08,15.8,24,East Asia & Pacific,0,0,4,6,0,2,20.719902,IDN,matched (3),1,7,2,2,0,2.0539453,0,4,.33333334,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),24754.094,19287.676,5922.29,180777.16,186699.44,230741.22,12.349052,matched (3),3.0310948,12.154611,10.348318,9.9693842,14.030786,14.047864,matched (3),31.802423,1,1,1,1,1
1,2015,26.645731,2086.58411026001,65.019775,.000088453598,27.95224,11.01846,0,0,0,1,0,3322.581678954442,7.46,512.105,8.1084976,6.2385297,17.200001,18.450001,15.86,25.799999,East Asia & Pacific,0,0,4,5,1,2,25.87808,IDN,matched (3),1,7,2,2,0,1.8990082,0,4,.33333334,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),29067.641,19455.705,5451.9966,203460.77,208912.77,257436.11,12.458527,matched (3),3.2533963,12.194269,10.346246,9.9572649,14.022022,14.039043,matched (3),34.134823,1,1,1,1,1
1,2016,26.769075,2966.968780517578,65.378967,.000090604204,28.253559,14.457921,0,0,0,1,0,3453.049430305106,7.529,506.2579,8.1470127,6.227046,17.43,18.85,15.92,22,East Asia & Pacific,0,0,9,3,0,0,13.805195,IDN,matched (3),1,5,4,2,0,1.7840732,0,6,.5,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,1,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),41365.113,13200.954,6850.1001,314493.34,321343.44,375909.5,12.837104,matched (3),2.6250451,12.240982,10.356995,9.9607096,14.005737,14.023095,matched (3),27.542128,1,1,1,1,1
1,2017,26.670549,2768.520286560059,65.525505,.000095846008,28.068611,13.658998,0,0,0,1,0,3591.780028459257,7.579,542.0537000000001,8.1864033,6.2953649,17.67,19.26,16,20.799999,East Asia & Pacific,0,0,9,3,0,0,13.344282,IDN,matched (3),0,6,3,3,0,2.1487281,0,6,.5,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),3426.3477,16921.359,8941.7363,288131.13,297072.84,317420.56,12.667983,matched (3),2.5910881,12.238494,10.369853,9.9823389,14.024167,14.041579,matched (3),27.185848,1,1,1,1,1
1,2018,26.582973,2379.309764862061,65.387268,.000078637968,27.827873,12.506821,0,0,0,1,0,3741.305266820489,7.496,596.9417,8.22719,6.3918195,17.92,19.690001,16.07,21,East Asia & Pacific,0,0,8,4,0,0,15.095324,IDN,matched (3),0,7,2,3,0,1.9866627,0,5,.41666666,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),5254.0664,18366.539,7483.9014,275844.41,283328.28,306948.91,12.634437,matched (3),2.714385,12.232962,10.34054,9.9812851,14.018247,14.035744,matched (3),28.479486,1,1,1,1,1
1,2019,26.729559,2099.592323303223,64.62796,.000074624528,27.748465,10.913918,0,0,0,1,0,3892.421661873689,7.539,636.7911,8.2667866,6.4564419,18.18,20.120001,16.15,25,East Asia & Pacific,0,0,5,6,0,1,19.719795,IDN,matched (3),1,7,2,2,0,2.0879595,0,4,.33333334,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),18211.252,19727.146,6056.4648,192080.84,198137.31,236075.7,12.371908,matched (3),2.9816229,12.240228,10.351924,9.9993496,14.030185,14.047788,matched (3),31.283363,1,1,1,1,1
